"Feature","Coef_Uni","HR(95%CI)_Uni","P_Uni","Coef_Mul","HR(95%CI)_Mul","P_Mul"
"AAK1",0.0136987036883405,"1.01 (0.95-1.08)",0.68,NA,NA,NA
"ADH7",0.00820863774013691,"1.01 (0.95-1.07)",0.796,NA,NA,NA
"ADRB1",-0.0687516882108775,"0.93 (0.88-0.99)",0.025,-0.0684065905271663,"0.93 ( 0.88 - 1 )",0.0372
"ALDH3A1",-0.0149548701215793,"0.99 (0.92-1.06)",0.669,NA,NA,NA
"APC2",0.0277253615540742,"1.03 (0.97-1.09)",0.362,NA,NA,NA
"APOBEC3D",-0.0108568675934689,"0.99 (0.93-1.06)",0.742,NA,NA,NA
"ARID1B",-0.0139161531389778,"0.99 (0.92-1.05)",0.673,NA,NA,NA
"BCL2A1",-0.00937020423491567,"0.99 (0.93-1.05)",0.766,NA,NA,NA
"BMPR1A",-0.0692132744593089,"0.93 (0.87-1)",0.04,0.0348086670616059,"1.04 ( 0.95 - 1.12 )",0.4025
"C1orf226",0.0249884364004753,"1.03 (0.96-1.09)",0.45,NA,NA,NA
"C20orf85",-0.0316008726428767,"0.97 (0.91-1.03)",0.317,NA,NA,NA
"CEL",0.0370466937304392,"1.04 (0.96-1.12)",0.322,NA,NA,NA
"CGA",0.0873907853568331,"1.09 (1.02-1.16)",0.008,0.0633950575173343,"1.07 ( 1 - 1.14 )",0.0676
"CHGA",0.000493951283200982,"1 (0.94-1.07)",0.988,NA,NA,NA
"CLCNKB",0.0644875602410949,"1.07 (1-1.14)",0.069,NA,NA,NA
"CR1L",-0.0316865129965644,"0.97 (0.91-1.03)",0.283,NA,NA,NA
"DCUN1D4",-0.0936886550155606,"0.91 (0.85-0.97)",0.005,-0.0391983036221262,"0.96 ( 0.89 - 1.04 )",0.321
"DERL1",-0.0688983194034097,"0.93 (0.87-1)",0.045,-0.0635037897633953,"0.94 ( 0.87 - 1.01 )",0.0843
"EIF4E1B",0.00320210436488962,"1 (0.94-1.07)",0.924,NA,NA,NA
"ESRRG",-0.0427779242806437,"0.96 (0.9-1.02)",0.184,NA,NA,NA
"FGF6",-0.0679299179384791,"0.93 (0.86-1.01)",0.101,NA,NA,NA
"FGF7",-0.048518155365402,"0.95 (0.89-1.02)",0.149,NA,NA,NA
"FOXQ1",0.0167758430573754,"1.02 (0.95-1.09)",0.614,NA,NA,NA
"GABRA1",-0.00571135943226073,"0.99 (0.93-1.06)",0.862,NA,NA,NA
"GAL3ST2",0.0254047030840476,"1.03 (0.96-1.1)",0.446,NA,NA,NA
"GP1BA",-0.00775121303998025,"0.99 (0.93-1.06)",0.813,NA,NA,NA
"HES3",-0.043023433289525,"0.96 (0.86-1.06)",0.414,NA,NA,NA
"HES5",0.00680213445753678,"1.01 (0.94-1.07)",0.836,NA,NA,NA
"HLA.G",0.0647549803181906,"1.07 (1-1.14)",0.045,0.029833989312494,"1.03 ( 0.96 - 1.1 )",0.4026
"IGFBPL1",0.025011040206359,"1.03 (0.96-1.09)",0.432,NA,NA,NA
"KDM6A",0.00627520624080721,"1.01 (0.95-1.07)",0.842,NA,NA,NA
"KLHDC7B",-0.0204111278846633,"0.98 (0.92-1.04)",0.518,NA,NA,NA
"KRT15",-0.00153539699585329,"1 (0.94-1.07)",0.963,NA,NA,NA
"LRRC14B",-0.0222849080224952,"0.98 (0.92-1.04)",0.494,NA,NA,NA
"MAFA",0.0506649408646293,"1.05 (0.98-1.13)",0.143,NA,NA,NA
"MAL2",-0.0612720966860893,"0.94 (0.88-1.01)",0.074,NA,NA,NA
"MID2",-0.0950723268475747,"0.91 (0.85-0.97)",0.003,-0.0727514886037855,"0.93 ( 0.86 - 1 )",0.0571
"MT3",0.0455613014513523,"1.05 (0.98-1.11)",0.15,NA,NA,NA
"NFKB2",-0.00234516283510904,"1 (0.94-1.06)",0.941,NA,NA,NA
"NR1H4",-0.00239190827298735,"1 (0.94-1.05)",0.933,NA,NA,NA
"NRAS",-0.0508396988085422,"0.95 (0.89-1.01)",0.128,NA,NA,NA
"PARP3",-0.0203190014832052,"0.98 (0.92-1.05)",0.54,NA,NA,NA
"PCMT1",0.020100075160461,"1.02 (0.96-1.09)",0.548,NA,NA,NA
"PGK1",0.0542151390875356,"1.06 (0.99-1.13)",0.109,NA,NA,NA
"PIGR",-0.0471857817306039,"0.95 (0.89-1.02)",0.163,NA,NA,NA
"PLXND1",0.0638394978112101,"1.07 (1-1.14)",0.061,NA,NA,NA
"PSME1",0.0189358637344008,"1.02 (0.95-1.09)",0.57,NA,NA,NA
"PSME2",-0.0034561805949642,"1 (0.93-1.06)",0.917,NA,NA,NA
"PTGES3",0.0125631629231056,"1.01 (0.95-1.08)",0.713,NA,NA,NA
"RAB18",-0.0772124141451439,"0.93 (0.87-0.99)",0.019,-0.0292181836649705,"0.97 ( 0.9 - 1.05 )",0.4556
"RAPGEFL1",-0.0116522402590161,"0.99 (0.93-1.05)",0.712,NA,NA,NA
"SAV1",-0.136392668527941,"0.87 (0.82-0.93)",0,-0.0895572410309985,"0.91 ( 0.85 - 0.98 )",0.016
"SEL1L2",-0.0382146246797847,"0.96 (0.9-1.03)",0.252,NA,NA,NA
"SERPINA1",-0.0189183692029557,"0.98 (0.92-1.04)",0.555,NA,NA,NA
"SFRP4",0.0132539586936922,"1.01 (0.95-1.08)",0.684,NA,NA,NA
"SFTPB",-0.000776772291547808,"1 (0.94-1.06)",0.981,NA,NA,NA
"SHBG",-0.00113046301200669,"1 (0.94-1.07)",0.973,NA,NA,NA
"SIX2",0.000845055649184853,"1 (0.94-1.07)",0.98,NA,NA,NA
"SLC20A2",-0.00995586916700905,"0.99 (0.93-1.06)",0.767,NA,NA,NA
"STAG3",-0.0563503151145568,"0.95 (0.88-1.01)",0.098,NA,NA,NA
"TAPBPL",0.0265211992725101,"1.03 (0.96-1.09)",0.415,NA,NA,NA
"TBX4",-0.0274870327590009,"0.97 (0.91-1.04)",0.411,NA,NA,NA
"TNNI3",0.0646317442318229,"1.07 (1-1.14)",0.047,0.0354354008491622,"1.04 ( 0.97 - 1.11 )",0.2993
"TRDN",-0.0349042603364872,"0.97 (0.9-1.03)",0.312,NA,NA,NA
"TRMT2B",-0.0698612568638375,"0.93 (0.87-0.99)",0.033,-0.00986142422378435,"0.99 ( 0.92 - 1.06 )",0.7853
"TSPAN14",-0.103462921454133,"0.9 (0.84-0.96)",0.002,-0.104534160027377,"0.9 ( 0.84 - 0.97 )",0.0039
"TWIST1",0.0426329441908144,"1.04 (0.97-1.12)",0.22,NA,NA,NA
"TYRP1",0.0206914548682058,"1.02 (0.96-1.09)",0.533,NA,NA,NA
"UPK1B",0.0520942730626262,"1.05 (0.99-1.12)",0.093,NA,NA,NA
"WNT11",0.0142966358655987,"1.01 (0.95-1.08)",0.655,NA,NA,NA
